Firm Name,Paid post appeal,Case closed count,Deduction fee,Deduction expense,Billed units fee,Billed expense,Billed fee,Paid fee,Paid expense,Cycle time,L100,L200,L300,L400,L500,Win rate proxy,Cost per case,Fee per unit,Cluster,Cluster_name,state_list,Firm_Profile
"Carter & Associates, LLP",14.74595744,5.135798437,8.513829541,7.399642702,7.833893366,9.84139138,10.41576672,10.04642402,9.497346966,7.012583653,1,1,0,0,0,0.691,5.376943687,13.23,3,Efficient Volume Handlers,['MI']," - High attorney involvement suggests a litigious approach.
 - Soft tissue injuries with outpatient care indicate moderate severity.
 - Potential exaggeration of injuries increases claim complexity.
 - Single vehicle involvement implies straightforward liability.
 - A law firm with expertise in coverage disputes and SIU investigations is ideal."
"Turner, Phillips & Partners",14.04512142,2.772588722,8.361656885,5.767633259,8.486867996,9.501460278,10.98673118,10.75315225,9.218858985,7.63382937,1,0,0,0,1,0.792,8.240575021,12.18,1,High-Cost/ Underperformers,,#N/A
"White, Scott & Parker, P.C.",13.24006837,3.891820298,7.47439775,6.521180618,8.529823097,8.658255158,10.76594028,10.46166259,8.366505176,7.151869403,1,1,1,0,1,0.738,6.707681072,9.36,2,Outcome Specialists,,#N/A
"Hughes, Martin & Partners",12.29359829,4.33073334,9.078069898,6.487668798,8.745257416,8.966278296,11.10775751,10.75054996,8.818513341,7.946168064,0,0,0,1,1,0.7,6.569705799,10.62,3,Efficient Volume Handlers,['MI']," - Moderate bodily injury severity with ongoing therapy treatment.  
 - Increased complexity due to unresolved prior claims and coverage disputes.  
 - High operational intensity with pending accident reconstruction and financial review.  
 - No initial demands or offers, indicating a potentially contentious negotiation posture.  
 - Best suited for a law firm experienced in complex commercial auto and coverage disputes."
"Parker & Associates, LLP",12.06325097,4.890349128,6.437879642,6.694636313,6.992197525,9.308723099,9.297093132,8.967344817,9.116918309,7.106745472,1,0,0,1,1,0.719,4.862908382,10.03,0,High-Value Core Firms,['AR']," - Low severity claim with minimal financial exposure.
 - Soft tissue neck injury is the primary concern, with no hospital treatment documented.
 - High attorney involvement suggests a contentious negotiation posture.
 - Claims are straightforward with low operational complexity.
 - A law firm specializing in low-severity, high-negotiation claims is ideal."
"Nelson, Carter & Partners",14.04688281,4.369447852,10.45289859,5.688431922,10.63153483,10.23362692,12.9549717,12.57908229,9.889977704,7.516144904,0,0,0,1,1,0.687,8.288350933,10.21,3,Efficient Volume Handlers,"['LA', 'CT', 'MI']"," - Claims involve high complexity with multiple unresolved issues and ongoing investigations.
 - Common injuries include knee and multiple body parts, often requiring extensive medical evidence.
 - High settlement demands and disputes over liability and coverage are frequent.
 - Cases require law firms experienced in complex liability and coverage disputes.
 - Litigation and negotiation require coordination with external counsel and specialists."
"Thompson, Henderson & Roberts, P.C.",13.62870513,5.293304825,8.816774684,6.721353409,9.089945178,9.090621714,11.63971,11.24366899,9.011482033,7.031599906,1,1,1,0,1,0.673,6.059637082,12.81,3,Efficient Volume Handlers,"['OK', 'MI', 'MA', 'MI', 'OK']"," - Severity is moderate with an average offer of $2,620 and frequent disputes over injury claims.
 - Common injuries involve soft tissue and unspecified body parts, with therapy treatments often contested.
 - Claims often involve extended litigation, with frequent attorney involvement and negotiation complexities.
 - High operational intensity due to ongoing disputes, SIU referrals, and extensive documentation requirements.
 - A law firm skilled in complex negotiations and adept at handling disputed injury claims is best suited."
"Young & Thompson, LLP",13.61920381,5.192956851,9.55344911,6.772634052,9.111591286,9.165212244,11.43487041,11.10961972,8.976867405,7.831629186,1,1,0,1,1,0.722,6.036605203,10.21,3,Efficient Volume Handlers,"['GA', 'FL', 'OH', 'MI', 'MD', 'MI', 'NY']"," - Claims exhibit moderate severity with frequent disputes over medical expenses and billing.
 - Common injuries include soft tissue damage to the neck and lower back, often requiring outpatient care.
 - High attorney representation and extended litigation indicate a complex negotiation posture.
 - Claims involve significant documentation and operational intensity due to extensive discovery and arbitration requests.
 - A law firm with strong litigation capabilities and experience in handling complex, disputed claims is best suited."
"Phillips, Roberts & Partners",12.51428307,4.718498871,7.97980454,6.517818972,8.490156985,8.521766717,10.73738966,10.38197633,8.264061971,8.109164801,1,1,1,0,0,0.701,5.789042319,9.46,2,Outcome Specialists,['MI']," - Involves soft tissue neck injuries with ongoing medical treatment.  
 - Extended litigation with stalled negotiations pending new medical evidence.  
 - Multi-vehicle accident with company truck under investigation.  
 - Requires coordination with healthcare providers and handling of Medicare lien.  
 - Best suited for a law firm experienced in complex, protracted litigation and negotiation."
"Young & White, LLP",14.04496739,5.313205979,8.248926743,6.941721829,8.317897994,8.960439516,10.80185604,10.48964734,8.879508598,8.43358547,1,1,1,1,0,0.732,5.368216494,11.99,3,Efficient Volume Handlers,"['PA', 'MI', 'MI']"," - Claims involve moderate severity with complex liability issues and multiple parties.  
 - Common injuries include soft tissue damage and multiple body parts affected.  
 - Negotiations are protracted with frequent disputes over fault and coverage.  
 - High operational intensity due to extensive documentation and discovery processes.  
 - A law firm with strong litigation and negotiation skills is best suited for these claims."
"Murphy & Williams, LLP",12.17658204,4.477336814,8.54741391,6.700448167,7.946861695,9.173543599,10.29697049,9.882672413,9.103920406,7.813409645,1,1,1,1,0,0.661,5.797485303,10.49,2,Outcome Specialists,,#N/A
Sanchez Baker Law Group,13.00245721,4.9698133,7.000534987,6.297551211,8.018526678,9.512910072,10.2443448,10.07091203,9.44520773,7.062440102,0,1,0,0,1,0.841,5.540400428,9.26,0,High-Value Core Firms,,#N/A
"Henderson & Edwards, LLP",13.47686803,4.990432587,8.751183306,6.56013918,8.267605557,10.23567132,10.71680603,10.52323466,10.15533129,7.489154924,1,1,1,1,0,0.824,6.067939359,11.58,3,Efficient Volume Handlers,"['IN', 'LA', 'IL', 'NJ', 'TN', 'GA']"," - Claims involve low severity with average offers around $1,320 and no demands or counters.
 - Common injuries include soft tissue and knee injuries, with some claims alleging shoulder surgery.
 - High attorney representation at 75% suggests a litigious approach with ongoing disputes and negotiations.
 - Claims are complex with extensive documentation, liability disputes, and multiple parties involved.
 - A law firm with strong negotiation skills and experience in complex, multi-party litigation is best suited."
"Kennedy, Nelson & Foster, P.C.",12.05754862,4.718498871,8.053947476,7.859386127,8.091354953,10.63997795,10.48954272,10.24443369,10.50193717,7.052695097,0,1,0,1,0,0.783,6.366762501,11.01,3,Efficient Volume Handlers,['MI']," - Severity and exposure are low with no financial demands or offers recorded.
 - Injury and treatment data are minimal, with unspecified injuries and no clear medical treatment pattern.
 - The claim involves arbitration and a coverage dispute, indicating a defensive negotiation posture.
 - Complexity is moderate due to coverage disputes and secondary accident involvement.
 - A law firm with expertise in arbitration and insurance coverage disputes is best suited for these claims."
"Taylor, Young & Collins, P.C.",12.35133764,5.278114659,8.886698079,7.313127049,8.593096266,9.486701605,10.96451462,10.57515059,9.392067586,7.977364344,1,0,0,1,0,0.677,5.573142137,10.71,3,Efficient Volume Handlers,"['VA', 'MA', 'LA']"," - Claims involve moderate bodily injury severity with therapy as a common treatment.  
 - High attorney representation suggests a litigious posture and complex negotiations.  
 - Claims often involve multiple body parts and unresolved prior claims, increasing complexity.  
 - Frequent lien resolution issues and hospital billing inconsistencies complicate settlements.  
 - A law firm experienced in complex, multi-jurisdictional claims with strong negotiation skills is best suited."
"Walker, Taylor & Murphy, P.C.",14.51433509,5.135798437,8.482605887,6.566616169,8.250322388,9.991287327,10.78960955,10.6075042,9.888127184,7.242075201,1,0,1,0,0,0.834,5.877175401,12.67,3,Efficient Volume Handlers,"['OH', 'FL', 'NY']"," - Claims involve high severity with complex coverage disputes and policy exclusions.
 - Common injuries include soft tissue damage and upper back pain, often requiring extensive documentation.
 - Cases frequently involve arbitration and extended litigation, indicating a contentious negotiation posture.
 - High operational intensity with ongoing evidence gathering and lien resolution issues.
 - Best suited for law firms experienced in complex litigation and arbitration with strong negotiation skills."
Turner Murphy Law Group,12.68839283,3.988984047,7.95084781,5.303454151,7.859749006,8.326207005,10.31873103,9.889603108,8.125290694,6.895085353,1,1,1,1,0,0.651,6.079635668,11.7,2,Outcome Specialists,,#N/A
"Stevens & Lewis, LLP",11.64489118,5.257495372,8.956134338,7.635216926,8.066888655,9.589079502,10.70524673,10.31133449,9.534515161,7.195097294,1,1,1,0,1,0.674,5.441681509,13.99,3,Efficient Volume Handlers,"['CT', 'FL', 'NJ', 'MI', 'NJ']"," - High attorney representation with 75% of claims involving legal counsel.
 - Low severity with no demands or offers recorded, indicating minimal financial exposure.
 - Common injuries include unspecified types and knee injuries, with unclear treatment patterns.
 - Claims involve complex liability disputes and arbitration, requiring detailed investigation.
 - Best suited for law firms experienced in arbitration and complex liability cases."
"Hughes, Garcia & Lewis, P.C.",13.98698994,5.384495063,9.191721104,3.536019607,8.770314875,8.089368971,11.13749429,10.89097273,7.740929584,7.893254859,0,0,1,1,0,0.782,5.556866671,10.67,2,Outcome Specialists,['CT']," - High claim complexity due to unresolved prior claims and coverage disputes.
 - Chronic pain allegations and lien resolution issues increase operational intensity.
 - Negotiations are stalled, requiring additional medical evidence and employer verification.
 - Single-vehicle involvement with no clear demand or offer indicates low severity.
 - Best suited for law firms experienced in complex negotiations and coverage disputes."
Anderson Young Law Group,12.61136811,5.010635294,7.500916365,7.178514972,7.243420047,9.461210368,9.714907251,9.324700668,9.312246026,6.766203235,1,0,0,0,1,0.677,5.014295255,11.85,0,High-Value Core Firms,['MI']," - Severity is low with an average demand of $6,395.52 and no offers or counters.  
 - Injuries involve multiple body parts with potential exaggeration concerns.  
 - Extended litigation process with ongoing provider disputes and coverage challenges.  
 - High complexity with SIU involvement and multi-vehicle collision liability investigation.  
 - Best suited for a law firm experienced in complex litigation and insurance fraud cases."
"Nelson & Associates, LLP",12.38224089,3.970291914,7.126272144,6.808575622,7.273342391,9.582020473,9.696899327,9.564783728,9.482855252,7.904692844,0,1,1,1,0,0.876,6.268376328,11.29,0,High-Value Core Firms,,#N/A
"Scott, Phillips & Partners",13.49026736,2.397895273,7.504364026,6.250573519,7.049602003,9.982690985,9.363155017,9.008979105,9.763535017,7.671551958,0,0,0,1,1,0.702,7.84667601,10.12,1,High-Cost/ Underperformers,,#N/A
"Campbell & Associates, LLP",13.37576897,2.397895273,9.070329749,6.912105802,8.587269476,8.940419629,10.92254297,10.56105652,8.819582579,7.355379088,1,1,1,0,1,0.697,8.42013809,10.33,1,High-Cost/ Underperformers,,#N/A
"Taylor & Associates, LLP",11.87157195,4.770684624,9.539061215,6.203061695,9.451484929,8.425689558,11.72774116,11.60573206,8.300729778,7.016107316,1,1,0,0,1,0.885,6.880610161,9.74,3,Efficient Volume Handlers,['MI']," - High claim complexity due to multi-vehicle accident and potential injury exaggeration.
 - Frequent attorney involvement suggests aggressive negotiation posture.
 - Chronic pain allegations and billing disputes indicate high operational intensity.
 - Suitable for law firms experienced in complex, high-stakes litigation.
 - Best handled by firms skilled in managing extensive negotiations and SIU investigations."
"Campbell, Jackson & Carter, P.C.",13.06812164,3.784189634,8.146813334,6.970523484,8.356388087,9.555718547,10.68531205,10.35410829,9.388370233,7.914416739,1,0,0,1,0,0.718,6.916447393,10.27,1,High-Cost/ Underperformers,,#N/A
Walker Henderson Law Group,13.7069503,5.062595033,9.222982127,6.940619293,9.096137545,8.920586822,11.7235676,11.61250253,8.587957293,7.429562385,1,0,1,1,1,0.895,6.605027248,13.84,3,Efficient Volume Handlers,"['CT', 'MI', 'LA', 'NY', 'TN', 'VA']"," - Claims involve high complexity with extended litigation timelines and multiple parties.  
 - Common injuries include soft tissue damage and multiple body parts affected.  
 - Frequent attorney involvement indicates a contentious negotiation posture.  
 - High operational intensity due to ongoing liability disputes and medical liens.  
 - Best suited for law firms with strong litigation capabilities and experience in complex claims."
"Campbell, Davis & Partners",12.92225863,5.298317367,7.231381066,6.290179285,7.442709454,9.102662729,9.879489898,9.761888849,9.029289607,7.583171186,1,1,0,0,0,0.889,4.868687631,11.44,0,High-Value Core Firms,"['OH', 'OH']"," - Claims exhibit moderate complexity with extensive documentation and coverage disputes.
 - Soft tissue injuries to the neck and upper back are common, with chronic pain allegations.
 - High attorney representation indicates a contentious negotiation and litigation posture.
 - Claims involve single-vehicle incidents with disputed fault percentages and prior accident history.
 - A law firm with strong litigation capabilities and experience in coverage disputes is best suited."
"Garcia, Davis & Partners",13.4319388,4.718498871,7.696258093,7.260775553,7.463494993,9.526965523,9.825247594,9.699277378,9.324714939,7.894265863,0,1,0,1,1,0.882,5.517011032,10.62,0,High-Value Core Firms,['FL']," - Low severity with minimal financial exposure due to single vehicle involvement and knee injury.  
 - Common injury involves knee, specifically the patella, with ongoing chronic pain allegations.  
 - Negotiations are complex, with stalled discussions and arbitration requested by the claimant.  
 - High operational intensity due to liability disputes, coverage challenges, and frequent communication.  
 - Best suited for a law firm experienced in arbitration and handling complex liability disputes."
"Baker, Carter & Partners",14.36675295,3.17805383,8.163730226,6.42681203,8.317680714,8.850391503,10.58239406,10.47522162,8.654662072,6.734544096,1,1,1,0,1,0.898,7.490322792,9.63,1,High-Cost/ Underperformers,,#N/A
Stevens Garcia Law Group,12.45295936,2.397895273,6.827954209,4.276388303,6.976618809,8.782178633,9.582463082,9.162446556,8.568733855,7.496497043,0,1,0,1,1,0.657,7.300121639,13.55,2,Outcome Specialists,,#N/A
"Scott & Williams, LLP",12.19635417,5.164785974,7.136745704,6.905472676,7.917299532,9.030687252,10.35817987,10.02945038,8.967668631,7.036385933,1,0,0,1,1,0.72,5.17303755,11.49,2,Outcome Specialists,,#N/A
"Young & Associates, LLP",13.71297712,5.068904202,8.069670951,7.19842289,8.479495478,9.806468263,10.74705059,10.53003168,9.53386052,7.812034157,0,1,0,0,1,0.805,5.784778574,9.66,3,Efficient Volume Handlers,"['PA', 'VA', 'MI']"," - Severity is moderate with frequent therapy and contested injury details.
 - High attorney involvement with complex negotiations and arbitration requests.
 - Claims involve multiple jurisdictions and unresolved prior claims increase complexity.
 - Medical liens and suspected fraud indicators complicate resolution.
 - Best suited for law firms experienced in complex, multi-jurisdictional litigation with strong negotiation skills."
"Parker & Collins, LLP",12.92000699,5.220355825,7.564243662,5.673220169,7.784348384,8.834414163,10.00013366,9.797984805,8.617358837,7.749300913,1,0,0,0,1,0.817,4.858571324,9.17,2,Outcome Specialists,,#N/A
"Roberts, Mitchell & Williams, P.C.",12.92059744,4.564348191,7.948508909,5.810482093,8.449856091,7.94395656,10.65503406,10.45764476,7.616957879,7.66180469,0,0,1,1,1,0.821,5.963039352,9.07,2,Outcome Specialists,,#N/A
"Baker, Kennedy & Scott, P.C.",12.979541,4.744932128,6.634173331,6.997175419,6.104681619,10.55887497,8.583914953,8.255417953,10.25572592,7.680729759,1,1,0,0,1,0.72,5.649889312,11.96,0,High-Value Core Firms,,#N/A
Baker Parker Law Group,13.57894354,4.875197323,7.480005205,6.409895238,7.407596798,9.916610074,9.931656555,9.596312045,9.690250395,7.822789221,0,0,1,0,1,0.715,5.474117706,12.49,0,High-Value Core Firms,"['MI', 'MI', 'MA']"," - Claims involve moderate severity with high settlement demands exceeding policy limits.
 - Common injuries include soft tissue damage, often involving multiple body parts.
 - Litigation is complex with extended timelines due to unresolved prior claims and multiple parties.
 - High operational intensity with ongoing disputes over coverage, fault, and treatment necessity.
 - Best suited for law firms with expertise in complex litigation and insurance coverage disputes."
"Scott, Henderson & Sanchez, P.C.",12.33791562,4.574710979,7.604416279,6.706189739,7.537035713,10.11973216,9.733937492,9.496596178,9.8672519,8.175890909,0,0,1,0,1,0.789,5.830679408,9,0,High-Value Core Firms,,#N/A
"Roberts, Lewis & Jackson, P.C.",12.8132135,4.262679877,7.708262475,6.749896064,7.408906254,9.261499157,9.617506033,9.367295402,8.949963431,7.333101443,0,1,0,0,1,0.779,5.628376224,9.11,0,High-Value Core Firms,,#N/A
"Taylor, Lewis & Partners",12.36579594,3.258096538,8.56355183,7.627588206,8.458605993,11.41623536,10.74701704,10.5411355,11.30428178,9.061940127,0,0,1,0,1,0.814,8.468271819,9.86,1,High-Cost/ Underperformers,,#N/A
"Young & Sanchez, LLP",12.8385712,5.393627546,8.695598757,6.251267843,8.59179033,10.06825637,11.04388281,10.85755873,9.791469927,7.963609673,1,1,1,0,1,0.83,5.767508166,11.61,3,Efficient Volume Handlers,"['MI', 'FL', 'VA', 'MI']"," - Claims involve moderate bodily injury severity with ongoing therapy and hospital treatment in one-third of cases.
 - High attorney representation at 75% indicates a contentious negotiation and litigation posture.
 - Claims are complex with frequent disputes over liability, coverage, and reimbursement levels.
 - Extended negotiation and litigation processes are common, requiring detailed documentation and witness statements.
 - A law firm with strong negotiation skills and experience in complex liability and coverage disputes is best suited."
"Murphy, Williams & Mitchell, P.C.",12.54360971,4.248495242,8.307755287,4.696015869,8.953866227,8.888258693,11.45466384,11.25303377,8.586749104,6.900821294,1,0,1,1,0,0.817,7.086938583,12.19,2,Outcome Specialists,,#N/A
"Sanchez & Walker, LLP",13.33455764,5.056245805,8.471281181,5.94027651,8.243169418,8.869995647,10.85471097,10.69650722,8.782586709,6.730576476,0,1,1,1,1,0.854,5.787265412,13.62,2,Outcome Specialists,,#N/A
"Lewis, Davis & Williams, P.C.",14.98501989,4.17438727,6.200914771,8.471337717,7.645541161,10.87805983,10.10413843,9.932208625,10.68413976,7.741577029,0,1,1,1,1,0.842,6.912474128,11.69,0,High-Value Core Firms,,#N/A
"Roberts, Kennedy & Partners",14.03222594,5.081404365,8.764237627,7.614099988,8.79466734,10.14082982,11.24574368,10.90909051,10.00193055,7.64905909,1,0,0,0,1,0.714,6.17505613,11.6,3,Efficient Volume Handlers,"['MA', 'MI', 'MI']"," - Claims involve moderate complexity with extended litigation processes and lien complications.
 - Injuries typically affect multiple body parts, including neck injuries, with chronic pain allegations.
 - High settlement demands often exceed policy limits, requiring strategic negotiation.
 - Cases involve significant attorney representation and external counsel involvement.
 - A law firm with expertise in complex, multi-jurisdictional claims and strong negotiation skills is best suited."
"Anderson & Williams, LLP",11.90165715,4.709530201,8.669277166,6.732317971,9.110789614,9.85377669,11.34432668,11.19540447,9.778957809,7.036148494,0,1,0,1,0,0.862,6.713308508,9.33,3,Efficient Volume Handlers,['NY']," - Low severity with minimal financial exposure due to zero demands and offers.
 - Common injury involves shoulder requiring surgical intervention.
 - Aggressive negotiation posture with multiple demands and counteroffers.
 - High complexity with extensive documentation and discovery process.
 - Best suited for a law firm experienced in complex litigation and billing disputes."
"Edwards & Associates, LLP",13.26779143,5.023880521,7.512317117,5.362089969,7.419914014,8.436828765,10.02844347,9.799954255,8.226043781,7.248432946,0,1,0,1,1,0.796,4.977836582,13.59,2,Outcome Specialists,,#N/A
"Hughes & Turner, LLP",10.6510983,4.86753445,8.811248412,7.512945181,8.458544491,9.824229495,10.87050999,10.69101516,9.619129283,6.895034715,0,1,1,0,0,0.836,6.127785794,11.16,3,Efficient Volume Handlers,"['MI', 'IN', 'TN', 'NJ', 'MI', 'MI']"," - Claims involve low severity with average offers around $4,745.
 - Common injuries include soft tissue and unclassified body parts, with neck pain frequently disputed.
 - High complexity due to ongoing litigation, fraud investigation, and extensive documentation.
 - Claims often involve disputes over medical necessity and causation, requiring detailed legal analysis.
 - Best suited for law firms experienced in complex litigation and insurance defense."
"Taylor, White & Collins, P.C.",12.35101887,4.584967479,7.340699358,7.033797447,8.698312359,9.370349855,10.94050294,10.81643229,9.25635335,7.971845134,0,0,1,0,1,0.883,6.434016683,9.42,3,Efficient Volume Handlers,"['MI', 'LA', 'NY', 'NJ']"," - Average demand is relatively low at $8,115.66 with a median demand of $0, indicating potential for negotiation flexibility.
 - Common injuries involve multiple body parts, shoulder/arm, and soft tissue, often requiring outpatient care.
 - Claims are complex with ongoing litigation, multiple parties, and disputes over liability and medical expenses.
 - High operational intensity due to extensive fact-finding, SIU involvement, and Medicare lien handling.
 - A law firm with strong negotiation skills and experience in complex, multi-party litigation is best suited for these claims."
"Henderson, Foster & Baker, P.C.",13.92288652,4.304065093,6.492785141,5.990038531,7.092823061,10.03566647,9.698768228,9.517484573,9.885260443,8.236015254,0,0,1,0,1,0.834,6.122997068,13.55,0,High-Value Core Firms,,#N/A
White Garcia Law Group,14.35200773,4.454347296,8.494747153,6.588362357,7.863551299,9.262861662,10.44345412,10.2698313,9.084024031,6.730086879,1,0,1,1,0,0.841,6.095959688,13.2,2,Outcome Specialists,,#N/A
"Garcia & Foster, LLP",12.27641778,4.934473933,6.810407024,7.768017312,7.493974049,10.33035531,9.69257638,9.582739441,10.10515125,7.751987015,0,0,1,1,0,0.896,5.64707102,9.02,0,High-Value Core Firms,"['NY', 'NY', 'CT']"," - Claims involve moderate severity with high initial demands and low offers.
 - Common injuries include soft tissue damage and knee or shoulder injuries.
 - Litigation involves complex liability disputes and extensive documentation.
 - Claims require high operational intensity due to coverage and reimbursement disputes.
 - A law firm with expertise in commercial auto claims and liability disputes is best suited."
"Davis, Foster & Turner, P.C.",14.65075076,4.663439094,8.694626152,6.566967745,8.28177714,9.165630622,10.59920318,10.35572301,8.914984934,7.229360403,1,0,1,1,0,0.784,5.916902626,10.15,2,Outcome Specialists,,#N/A
"Kennedy, Baker & Mitchell, P.C.",12.96390806,3.496507561,6.525703917,8.041593131,7.175359636,10.38865716,9.677766307,9.565292933,10.12516323,6.424123203,0,1,1,0,0,0.894,7.112082916,12.22,0,High-Value Core Firms,,#N/A
Nelson Martin Law Group,13.94162907,5.247024072,8.403724336,7.145369622,7.837128066,10.43763695,10.3688093,10.0305668,10.24759946,6.881072437,0,1,1,1,1,0.713,5.600013285,12.58,0,High-Value Core Firms,"['VA', 'CT', 'MI', 'NJ', 'OH', 'NJ']"," - Claims involve high severity with frequent policy limit challenges and arbitration requests.
 - Soft tissue neck injuries are predominant, with chronic pain and new treatments complicating cases.
 - High attorney involvement and suspected fraud indicators suggest aggressive negotiation and litigation.
 - Claims are complex with multiple parties, coverage disputes, and lien issues requiring extensive management.
 - A law firm experienced in high-stakes negotiations and complex multi-party litigation is best suited."
Thompson Foster Law Group,14.31658122,5.342334252,8.996981296,5.925057615,8.393933436,8.245274226,10.77011734,10.58444727,8.166452036,8.310454344,1,0,0,0,1,0.831,5.337057195,10.77,2,Outcome Specialists,['MI']," - Severity is moderate with a demand around $10,172 and no initial offer or counter.
 - Common injuries involve soft tissue damage, specifically to the neck, with surgical intervention claims.
 - The litigation posture is complex with extended processes and potential exaggeration of injuries.
 - Claims involve high operational intensity, including SIU referral and multi-vehicle accident investigation.
 - A law firm with expertise in complex commercial vehicle claims and fraud investigation is best suited."
"White, Thompson & Partners",13.34984415,4.33073334,8.547759253,6.848217566,7.863758911,9.293807977,10.43381841,10.07240383,9.034330852,8.442616186,0,1,0,1,0,0.697,6.060360747,13.07,2,Outcome Specialists,,#N/A
"Garcia, Baker & Walker, P.C.",12.36896144,4.934473933,8.267872489,7.384815204,8.753384055,9.341909716,11.14994698,10.87849558,9.08985381,8.500394887,0,1,1,1,0,0.762,6.108024613,10.99,3,Efficient Volume Handlers,,#N/A
"Anderson, Garcia & Hughes, P.C.",14.19358826,5.123963979,8.611410046,6.794116145,8.683390448,9.438153006,11.08513806,10.74261037,9.324320631,6.857503547,0,1,0,1,1,0.71,5.844297756,11.04,3,Efficient Volume Handlers,"['MI', 'FL', 'CT', 'GA', 'MI', 'NJ', 'MI', 'MI', 'TX']"," - Severity is moderate with ongoing therapy and moderate exposure due to policy limit challenges.
 - Common injuries include soft tissue neck injuries and unspecified injuries, with hospital treatment in 16.7% of cases.
 - High attorney representation at 60% and frequent disputes over fault and coverage suggest a contentious negotiation posture.
 - Claims are complex with extensive litigation, multiple parties, and ongoing disputes over medical treatments and coverage.
 - A law firm experienced in complex litigation and insurance coverage disputes is best suited for these claims."
Williams Edwards Law Group,12.60597659,4.158883083,8.014186917,6.327007781,7.778056521,9.382631795,10.25443452,10.07461123,9.180258413,7.772142004,1,0,0,1,1,0.835,6.276079421,11.9,2,Outcome Specialists,,#N/A
